name                    | zoom                 | nms        | scale             | radius | border   |
----                    | ----                 | ---        | -----             | ------ | ------   |
BF-C2DL-HSC-01          | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
BF-C2DL-HSC-02          | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
BF-C2DL-MuSC-01         | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
BF-C2DL-MuSC-02         | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
DIC-C2DH-HeLa-01        | (0.50,0.50)          |   (5,5)    | (1.0,1.0)         | 20.0   |  (50, 50)  |
DIC-C2DH-HeLa-02        | (0.50,0.50)          |   (5,5)    | (1.0,1.0)         | 20.0   |  (50, 50)  |
Fluo-C2DL-MSC-01        | (0.250,0.250)        |   (5,5)    | (1.0,1.0)         | 40.0   |  (50, 50)  |
Fluo-C2DL-MSC-02        | (0.250,0.250)        |   (5,5)    | (1.0,1.0)         | 40.0   |  (50, 50)  |
Fluo-C3DH-A549-01       | (1.0,0.50,0.50)      |   (3,5,5)  | (7.937,1.0,1.0)   | 20.0   |  (0,  0,  0)  |
Fluo-C3DH-A549-02       | (1.0,0.50,0.50)      |   (3,5,5)  | (7.937,1.0,1.0)   | 20.0   |  (0,  0,  0)  |
Fluo-C3DH-A549-SIM-01   | (1.0,0.50,0.50)      |   (3,5,5)  | (7.937,1.0,1.0)   | 20.0   |  (0,  0,  0)  |
Fluo-C3DH-A549-SIM-02   | (1.0,0.50,0.50)      |   (3,5,5)  | (7.937,1.0,1.0)   | 20.0   |  (0,  0,  0)  |
Fluo-C3DH-H157-01       | (0.250,0.125,0.125)  |   (3,5,5)  | (3.968,1.0,1.0)   | 80.0   |  (0, 50, 50)  |
Fluo-C3DH-H157-02       | (0.250,0.125,0.125)  |   (3,5,5)  | (3.968,1.0,1.0)   | 80.0   |  (0, 50, 50)  |
Fluo-C3DL-MDA231-01     | (1.0,1.0,1.0)        |   (3,5,5)  | (4.831,1.0,1.0)   | 10.0   |  (0, 25, 25)  |
Fluo-C3DL-MDA231-02     | (1.0,1.0,1.0)        |   (3,5,5)  | (4.831,1.0,1.0)   | 10.0   |  (0, 25, 25)  |
Fluo-N2DH-GOWT1-01      | (0.50,0.50)          |   (5,5)    | (1.0,1.0)         | 20.0   |  (50, 50)  |
Fluo-N2DH-GOWT1-02      | (0.50,0.50)          |   (5,5)    | (1.0,1.0)         | 20.0   |  (50, 50)  |
Fluo-N2DH-SIM+-01       | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 20     |  (0,  0)  |
Fluo-N2DH-SIM+-02       | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 20     |  (0,  0)  |
Fluo-N2DL-HeLa-01       | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
Fluo-N2DL-HeLa-02       | (1.0,1.0)            |   (5,5)    | (1.0,1.0)         | 10.0   |  (25, 25)  |
Fluo-N3DH-CE-01         | (1.0,0.50,0.50)      |   (3,5,5)  | (11.111,1.0,1.0)  | 20.0   |  (0, 50, 50)  |
Fluo-N3DH-CE-02         | (1.0,0.50,0.50)      |   (3,5,5)  | (11.111,1.0,1.0)  | 20.0   |  (0, 50, 50)  |
Fluo-N3DH-CHO-01        | (1.0,0.250,0.250)    |   (3,5,5)  | (4.950,1.0,1.0)   | 40.0   |  (0, 50, 50)  |
Fluo-N3DH-CHO-02        | (1.0,0.250,0.250)    |   (3,5,5)  | (4.950,1.0,1.0)   | 40.0   |  (0, 50, 50)  |
Fluo-N3DH-SIM+-01       | (1.0,0.50,0.50)      |   (3,5,5)  | (1.60,1.0,1.0)    | 20.0   |  (0,  0,  0)  |
Fluo-N3DH-SIM+-02       | (1.0,0.50,0.50)      |   (3,5,5)  | (1.60,1.0,1.0)    | 20.0   |  (0,  0,  0)  |
Fluo-N3DL-DRO-01-dense  | (1.0,1.0,1.0)        |   (3,5,5)  | (5.0,1.0,1.0)     | 7      |  (0,  0,  0)  |
Fluo-N3DL-DRO-01        | (1.0,1.0,1.0)        |   (3,5,5)  | (5.0,1.0,1.0)     | 7      |  (0,  0,  0)  |
Fluo-N3DL-DRO-02-dense  | (1.0,1.0,1.0)        |   (3,5,5)  | (5.0,1.0,1.0)     | 7      |  (0,  0,  0)  |
Fluo-N3DL-DRO-02        | (1.0,1.0,1.0)        |   (3,5,5)  | (5.0,1.0,1.0)     | 7      |  (0,  0,  0)  |
Fluo-N3DL-TRIC-01-dense | (1.0,1.0,1.0)        |   (3,5,5)  | (1.0,1.0,1.0)     | 10.0   |  (0,  0,  0)  |
Fluo-N3DL-TRIC-01       | (1.0,1.0,1.0)        |   (3,5,5)  | (1.0,1.0,1.0)     | 10.0   |  (0,  0,  0)  |
Fluo-N3DL-TRIC-02-dense | (1.0,1.0,1.0)        |   (3,5,5)  | (1.0,1.0,1.0)     | 10.0   |  (0,  0,  0)  |
